Protein Set;Annotation;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C21;C22;Z01;Z02;Z03;Z04;Z05;Z06;Z07;Z08;Z09;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;C03_2;C04_2;C05_2;C06_2;C07_2;C08_2;C09_2;C10_2;C11_2;C12_2;C13_2;C14_2;C15_2;C16_2;C17_2;C18_2
ACTN4;Alpha-actinin-4;5.285714;20.817142;0.0;6.9999995;8.4;18.199999;15.700001;1.4;11.2;13.3;11.200001;11.2;0.7;10.799999;16.4;6.3;27.6;28.099998;33.212654;16.160408;12.80653;11.975919;10.541225;7.490612;22.701633;4.5155106;1.495102;12.7914295;5.285714;20.496733;6.7959185;5.2253056;23.891428;16.49143;25.16653;24.876326;19.391018;15.266123;21.276733;40.124084;7.5510206;9.29102;11.480817;24.997145;15.4;12.9;13.299999;14.0;11.2;6.9999995;9.799999;13.3;10.099999;5.6;14.699999;5.6;14.699999;11.5;27.599998;8.0
HNRNPU;Heterogeneous nuclear ribonucleoprotein U;2.0;7.0;0.0;3.0;10.0;3.0;6.0;0.0;12.0;8.0;6.0;5.0;11.0;22.0;29.0;15.0;20.0;20.0;13.0;10.0;4.0;2.0;0.0;19.0;7.0;11.0;0.0;16.0;14.0;29.0;12.0;2.0;10.0;10.0;22.0;18.0;23.0;14.0;16.0;22.0;6.0;11.0;20.0;15.0;15.0;13.0;30.0;11.0;24.0;12.0;23.0;29.0;16.0;24.0;28.0;1.0;24.0;14.0;18.0;4.0
CAP1;Adenylyl cyclase-associated protein 1;12.0;23.0;5.0;9.0;19.0;15.0;19.0;4.0;35.0;16.0;34.0;33.0;24.0;13.0;35.0;19.0;36.0;35.0;20.0;27.0;21.0;23.0;21.0;28.0;35.0;20.0;9.0;28.0;26.0;48.0;7.0;5.0;38.0;35.0;35.0;38.0;37.0;29.0;30.0;38.0;15.0;13.0;28.0;27.0;19.0;25.0;27.0;32.0;27.0;27.0;39.0;36.0;42.0;28.0;23.0;7.0;50.0;32.0;16.0;20.0
H4C9;Histone H4;76.0;100.0;59.0;49.0;105.0;87.0;85.0;40.0;150.0;110.0;90.0;101.0;121.0;86.0;172.0;128.0;90.0;61.0;37.0;41.0;48.0;98.0;111.0;114.0;149.0;80.0;98.0;104.0;111.0;115.0;76.0;53.0;190.0;110.0;127.0;129.0;119.0;103.0;96.0;66.0;107.0;79.0;70.0;84.0;128.0;80.0;169.0;198.0;108.0;113.0;134.0;142.0;146.0;104.0;112.0;44.0;68.0;96.0;105.0;84.0
PFN1;Profilin-1;51.0;95.0;36.0;43.0;76.0;59.0;60.0;16.0;51.0;52.0;68.0;47.0;91.0;88.0;99.0;67.0;82.0;69.0;79.0;58.0;62.0;76.0;59.0;53.0;117.0;65.0;49.0;65.0;82.0;123.0;87.0;49.0;80.0;96.0;87.0;80.0;102.0;93.0;89.0;87.0;80.0;39.0;49.0;69.0;103.0;46.0;78.0;86.0;67.0;102.0;100.0;81.0;93.0;120.0;79.0;67.0;94.0;90.0;72.0;54.0
HBD;Hemoglobin subunit delta;20.874195;8.37742;7.818837;11.613512;26.47138;2.6507993;0.92841095;0.6187661;24.401014;18.6718;0.7218647;4.0644155;19.607386;0.92876005;8.890252;4.405395;9.542099;23.510067;30.295156;43.33526;0.5576124;15.014975;25.114277;13.594701;2.517512;13.436623;21.435247;9.339385;2.6589794;1.6783414;24.913347;4.894933;16.017038;10.857584;3.774204;4.75553;15.134326;3.2179677;1.5375623;3.494022;57.210567;38.188023;8.217279;10.914983;2.1678631;2.786804;9.162086;22.672674;5.614036;9.852441;11.711183;5.678626;13.955015;6.542621;5.71504;2.4759371;19.192898;23.535273;3.6129892;3.857171
SPTAN1;Spectrin alpha chain, non-erythrocytic 1;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;3.0;11.0;0.0;8.0;10.0;2.0;1.0;5.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;5.0;0.0;23.0;4.0;4.0;5.0;14.0;14.0;12.0;13.0;3.0;5.0;2.0;0.0;9.0;0.0;0.0;4.0;1.0;0.0;0.0;5.0;0.0;6.0;1.0;2.0;0.0;6.0;1.0;7.0;8.0
H1-2;Histone H1.2;36.967175;29.1755;38.000843;23.85544;39.12;40.08842;37.03888;20.498247;36.721786;32.680283;46.946247;26.441542;53.209396;49.650806;41.724773;49.63719;31.719015;35.321682;21.71442;18.739876;28.243732;58.23651;45.034676;58.868683;61.893406;33.824688;43.50085;44.54333;59.376755;58.453274;39.013725;39.03933;42.671062;45.47946;38.115852;32.700886;45.68864;39.585518;36.119926;34.07308;34.5941;35.769672;22.773773;22.72271;38.74414;42.10204;47.56898;51.50077;35.169544;54.481403;40.203228;42.039154;32.68744;62.801964;45.64365;25.823858;25.416422;38.182453;49.329964;21.976
H1-4;Histone H1.4;38.607296;28.628756;39.446526;24.762983;41.379997;42.38526;38.447964;21.278069;38.042725;33.885506;48.580067;28.2953;56.11955;51.007088;42.89365;50.95491;33.92572;36.32305;22.055794;19.064377;28.611588;59.210297;45.675964;59.680256;61.774677;34.39308;44.150215;45.1588;60.23176;59.240345;40.63734;38.628754;43.150215;46.16309;38.63734;33.14592;46.341255;40.201717;36.6588;34.66309;35.19313;36.319794;23.081547;23.081547;40.913754;43.437435;50.036278;53.117645;36.3173;57.097546;41.428352;43.181942;33.930984;63.65856;46.961613;26.768248;26.307262;39.3307;51.13056;22.774
HMGB1;High mobility group protein B1;8.109589;20.0;24.191513;6.095756;13.095757;15.0;10.0;15.794342;13.0;22.492928;12.0;4.0;16.890099;31.698586;45.0;19.0;17.0;30.191513;30.109589;20.109589;9.0;23.109589;22.0;19.0;26.0;17.0;10.3698635;19.0;50.589043;40.739727;68.21918;40.643833;13.0;41.164383;36.0;26.0;40.0;17.0;18.0;27.369864;13.0;19.424658;13.3698635;3.0;20.0;22.0;36.492928;23.0;28.0;25.0;24.0;20.0;18.0;31.0;20.0;29.0;28.0;12.0;21.0;17.0
ALDOA;Fructose-bisphosphate aldolase A;26.0;41.0;14.0;10.0;20.0;20.0;30.0;16.0;32.0;53.0;27.0;31.98787;35.0;39.0;69.0;37.0;65.98787;67.0;65.0;39.0;21.0;32.0;30.0;15.0;32.0;30.0;25.0;23.0;55.0;86.0;34.0;20.0;39.0;47.0;51.0;53.0;54.0;38.0;48.964245;64.0;42.0;38.0;42.0;49.0;51.0;35.0;44.0;42.0;40.0;49.0;57.0;45.0;53.0;58.0;37.0;31.0;74.0;39.0;44.0;39.0
HNRNPK;Heterogeneous nuclear ribonucleoprotein K;27.0;34.0;11.0;14.0;25.0;29.0;20.0;0.0;23.0;16.0;30.0;20.0;11.0;23.0;39.0;26.0;27.0;30.0;15.0;25.0;23.0;39.0;32.0;19.0;53.0;26.0;19.0;35.0;28.0;21.0;38.0;12.0;19.0;47.0;39.0;25.0;38.0;38.0;43.0;39.0;39.0;13.0;15.0;24.0;28.0;20.0;28.0;27.0;19.0;31.0;14.0;14.0;11.0;36.0;27.0;34.0;43.0;39.0;31.0;12.0
UBA1;Ubiquitin-like modifier-activating enzyme 1;0.0;9.0;0.0;0.0;2.0;13.0;2.0;0.0;3.0;4.0;0.0;0.0;4.0;3.0;22.0;0.0;8.0;15.0;10.0;1.0;0.0;5.0;4.0;4.0;10.0;2.0;2.0;8.0;3.0;16.0;0.0;0.0;15.0;10.0;20.0;19.0;18.0;11.0;13.0;15.0;0.0;4.0;11.0;20.0;9.0;3.0;8.0;4.0;4.0;0.0;13.0;8.0;9.0;3.0;13.0;0.0;28.0;0.0;15.0;1.0
HNRNPM;Heterogeneous nuclear ribonucleoprotein M;6.0;7.0;0.0;4.0;8.0;18.0;5.0;0.0;11.0;0.0;12.0;7.0;15.0;20.0;22.0;10.0;19.0;21.0;7.0;4.0;11.0;10.0;6.0;8.0;12.0;6.0;3.0;6.0;14.0;27.0;8.0;6.0;5.0;13.0;17.0;11.0;26.0;29.0;22.0;17.0;9.0;14.0;20.0;19.0;12.0;8.0;19.0;19.0;2.0;10.0;14.0;17.0;11.0;22.0;21.0;6.0;20.0;10.0;29.0;15.0
HSPA1A;Heat shock 70 kDa protein 1A;6.7887363;14.769922;2.0268717;8.899258;13.210833;13.360513;10.932617;5.044661;3.0485535;21.924448;11.58432;3.7097228;8.756979;4.707128;21.003622;12.128639;13.322596;15.17628;27.620718;22.739918;42.274216;8.379254;9.19077;13.204197;17.73247;3.1914573;5.200585;8.796313;9.786498;7.3598003;40.13849;2.9991364;20.363588;19.909811;20.975893;28.538643;24.387566;20.525906;24.149399;22.360487;8.586777;15.154739;14.984845;9.565724;12.92834;13.24717;8.61417;9.756065;5.8660016;3.8771918;7.07283;9.074128;9.445404;3.902766;27.807598;21.932344;37.036976;23.033085;16.047256;14.900171
TPM3;Tropomyosin alpha-3 chain;16.460972;17.922817;17.635088;16.610527;24.122807;17.098246;18.733334;9.073685;19.196491;17.196491;26.782455;20.122807;11.846621;15.884546;24.098246;20.659649;17.536842;33.65965;25.45787;27.148647;24.839428;16.45787;25.76709;18.45787;37.381557;25.637123;14.767091;9.767091;19.072336;22.843403;53.838554;23.686806;19.76709;32.686806;21.151752;22.381557;22.175278;25.76709;24.76709;23.305246;13.767091;17.228935;13.152623;15.919714;14.073684;18.807018;20.659649;13.635088;26.17193;18.909107;14.147368;23.372265;21.682045;15.098246;14.098246;33.91646;35.70827;24.196491;24.733334;20.635088
IQGAP1;Ras GTPase-activating-like protein IQGAP1;0.0;13.0;0.0;4.0;1.0;13.0;5.0;0.0;0.0;0.0;2.0;5.0;0.0;3.0;21.0;4.0;16.0;10.0;8.0;5.0;0.0;4.0;0.0;0.0;19.0;0.0;0.0;2.0;3.0;17.0;1.0;0.0;8.0;10.0;15.9965515;23.0;7.0;12.0;19.0;13.0;1.0;4.0;11.0;10.0;16.0;1.0;15.0;8.0;12.0;13.0;1.0;6.0;5.0;7.0;4.0;3.0;18.0;2.0;7.0;2.0
VCP;Transitional endoplasmic reticulum ATPase;0.0;3.0;0.0;3.0;6.0;0.0;2.0;6.0;2.0;11.0;9.0;0.0;0.0;4.0;7.0;2.0;12.0;27.0;30.0;7.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;15.0;0.0;17.0;14.0;11.0;12.0;11.0;11.0;11.0;16.0;5.0;5.0;14.0;12.0;7.0;3.0;9.0;4.0;7.0;0.0;6.0;9.0;5.0;4.0;10.0;12.0;16.0;8.0;11.0;7.0
LMNA;Prelamin-A/C;4.0;17.460915;0.0;0.0;0.0;7.0;0.0;0.0;1.2707143;0.0;0.0;4.0;14.0;5.0;21.270714;44.0;6.3535714;33.270714;0.0;0.0;19.0;5.0;4.0;2.0;0.0;6.0;1.0;6.0;0.0;23.92183;6.0;0.0;15.0;15.691372;28.0;18.0;20.691372;12.921829;22.691372;1.2304574;5.4609146;3.6913724;13.460915;19.230457;4.2707143;10.812143;14.082857;25.270714;3.2707143;19.541428;25.812143;11.270714;7.0;13.541429;21.0;0.0;1.0;21.0;13.541429;59.0
MYH11;Myosin-11;0.03287911;0.062030263;0.004847397;0.02436909;1.0387883;0.038787883;0.042224914;0.004845222;0.035729837;0.029295184;0.05363648;0.06502758;0.037274074;0.037269287;1.0634025;0.053579483;0.05989857;1.0471956;0.02472187;0.008218616;0.004110997;0.01849653;0.04932141;0.05754087;0.088563815;0.041101947;0.036991797;2.0576105;0.04969638;1.0620883;0.018497799;0.022669725;0.04994743;0.049823403;1.0686255;1.0787693;0.07653982;0.090858415;1.061841;0.06993693;1.0473967;0.02889968;0.0435307;0.060031;0.043808628;0.058410432;0.043740463;0.051920548;0.051896244;0.0681225;0.0664871;0.060047206;0.034088656;0.040582456;0.056898367;0.011313351;2.0470915;0.051990107;0.06648441;1.0521177
ACTN1;Alpha-actinin-1;1.7142857;6.102857;0.0;3.0;3.6;7.8;6.3;0.6;4.8;5.7000003;4.8;4.7999997;0.3;4.2;6.6;2.7;13.400001;9.900001;12.447346;3.6195917;4.1534696;3.8840814;3.418775;2.4293878;7.038367;1.4644898;0.48489797;4.1485715;2.7142859;7.3232646;2.2040815;1.6946938;7.7485714;6.3485713;7.513469;7.743673;7.2889795;5.6538773;5.6032653;11.715919;2.4489794;2.6889796;4.3991838;8.782856;8.6;5.1000004;5.700001;6.0;4.8;3.0;5.2000003;5.700001;3.9;3.4;6.3;2.4;6.3;4.5000005;11.400001;3.0
HSPA5;Endoplasmic reticulum chaperone BiP;3.5743802;2.455896;2.6954226;0.0;0.16784702;10.0;10.390845;9.4172535;11.834507;6.3908453;5.3908453;4.1414385;7.836861;4.86327;11.877434;12.44837;10.035825;34.644978;24.298458;13.92821;22.14102;3.314876;2.102066;1.157438;5.589175;2.6522875;2.0;3.6297522;7.124602;7.0676064;43.067608;1.472314;4.8097258;18.028652;21.69736;17.341906;13.75273;10.462013;23.366064;15.635869;4.2595043;15.989699;11.28204;9.102066;8.143792;10.834507;2.6977766;1.6954225;2.44837;8.695422;3.4196076;4.558692;6.5082493;6.4196076;6.309285;26.004707;11.59689;18.172554;6.1989636;15.973592
TPM4;Tropomyosin alpha-4 chain;5.032668;3.872096;6.073578;4.4421053;4.2578416;3.9373736;7.3554487;1.9614036;3.5637426;6.219245;7.68538;2.6023393;2.515952;5.1516047;4.2818713;8.083041;3.1362042;18.016056;14.22174;15.72973;15.532591;4.22174;7.0663137;4.22174;3.2531593;8.0874405;1.7714423;2.7714424;7.703457;3.7400227;24.373268;6.5377383;7.1240063;16.185173;9.83553;9.2531595;9.248013;7.7714424;5.1240063;8.932014;3.1240065;8.553178;0.64228934;6.7662954;2.616906;9.627857;16.705051;6.3845825;5.2432747;8.472073;9.578309;6.3358684;5.026621;4.2818713;10.281872;19.604008;5.2818713;14.563743;11.010951;3.762573
LMNB2;Lamin-B2;4.0;3.254777;0.0;3.0;7.0;1.0;1.0;0.0;5.115714;0.0;8.0;4.0;0.0;5.0;15.115714;9.0;6.5785713;12.115714;0.0;0.0;10.0;2.0;0.0;7.0;5.0;0.0;1.0;4.0;3.0;7.509554;5.0;6.0;13.0;5.382166;5.0;2.0;12.382166;16.509554;6.3821654;0.12738854;7.254777;6.3821654;6.254777;9.127388;2.1157143;2.347143;5.4628572;5.115714;2.1157143;3.2314286;5.347143;11.115714;3.0;8.231428;3.0;0.0;0.0;7.0;18.231428;12.0
TUBA4A;Tubulin alpha-4A chain;13.764075;23.3521;0.9296636;4.3171587;7.6343174;9.246822;6.1694856;2.8593273;6.1764855;3.7819903;9.542979;11.6203165;14.486643;7.0288124;21.55779;12.726465;27.473454;9.634317;6.0;8.17605;0.0;8.588025;9.17605;21.3521;27.764076;15.588025;6.3521004;15.0;20.116175;22.3521;8.588025;6.0;15.588025;20.176048;25.644323;30.468275;22.292225;49.468273;39.0563;42.820374;21.588024;12.588025;23.940125;17.3521;13.493645;7.367304;10.944475;11.768799;10.930474;13.472643;18.247633;9.317969;6.2468224;9.916473;16.423307;1.3944954;15.860138;7.021812;24.310968;11.627316
KRT9;Keratin, type I cytoskeletal 9;33.0;0.0;0.0;11.0;0.0;0.0;4.0;8.0;6.0;7.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;5.0;17.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;1.0;5.0;0.0;3.0;8.0;0.0;21.0;0.0;6.0;1.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0
TAGLN2;Transgelin-2;19.0;36.0;14.0;13.0;40.0;19.0;21.0;13.0;29.0;35.0;34.0;12.0;30.0;30.0;58.0;32.0;30.0;63.0;54.0;47.0;56.0;16.0;24.0;25.0;30.0;36.0;23.0;24.0;42.0;51.0;48.0;24.0;52.0;55.0;64.0;57.0;65.0;39.0;52.0;65.0;23.0;38.0;33.0;53.0;45.0;34.0;41.0;53.0;35.0;36.0;59.0;44.0;38.0;31.0;55.0;39.0;54.0;45.0;57.0;61.0
PTPRC;Receptor-type tyrosine-protein phosphatase C;3.0;17.0;2.0;3.0;20.0;12.0;10.0;5.0;25.0;12.0;5.0;14.0;5.0;5.0;30.0;8.0;19.0;28.0;26.0;11.0;1.0;15.0;18.0;19.0;18.0;12.0;4.0;20.0;16.0;19.0;3.0;2.0;18.0;16.0;15.0;17.0;23.0;21.0;14.0;21.0;5.0;15.0;24.0;24.0;19.0;4.0;7.0;13.0;10.0;17.0;7.0;17.0;8.0;2.0;18.0;2.0;11.0;15.0;12.0;21.0
KRT5;Keratin, type II cytoskeletal 5;8.404584;0.0;35.526257;0.889371;1.6898048;0.8004339;0.889371;0.1778742;0.1778742;0.32363734;0.0;0.1778742;6.245119;1.6225597;0.0889371;0.0889371;0.0;0.7114968;4.541353;0.0;0.27067667;3.9022555;1.0827067;0.96218073;0.0;1.110992;0.7218045;0.0;0.0;0.0;0.36090225;0.7218045;0.6315789;0.27067667;0.0;0.0;0.0;0.27067667;0.54135334;0.09022556;1.0207664;0.8120301;0.27067667;0.6315789;0.7114968;0.0;1.7114968;0.0;0.26681128;0.4446855;0.9783081;0.0;0.3557484;0.7114968;2.2451193;0.0889371;0.0889371;0.4446855;0.3557484;1.4446855
H2BC3;Histone H2B type 1-B;12.634122;17.832588;8.846392;5.438328;22.519016;20.75331;17.352514;7.0415134;20.54435;13.679891;22.698656;14.907617;12.484768;12.466003;26.37785;15.525585;15.121504;17.955002;11.800587;4.6101027;10.058302;25.317158;25.029915;23.767637;52.19562;24.034473;17.767637;22.353722;18.509922;18.9284;8.380968;7.708195;16.675245;15.320579;13.735636;15.739058;17.188396;25.73925;22.28649;14.578293;23.552185;14.578294;24.709528;21.675245;8.068492;20.96884;27.563114;27.456198;15.917471;10.486412;23.165604;22.38442;12.085615;16.299503;13.701941;6.048084;10.875013;6.857889;27.172874;30.41374
CFL1;Cofilin-1;28.0;32.0;25.0;19.0;33.0;33.0;16.0;8.0;30.0;19.0;28.0;17.0;19.0;17.0;39.0;20.0;40.0;45.0;45.0;34.0;20.0;18.0;19.0;20.0;75.0;34.0;18.0;37.0;34.0;48.0;38.0;17.0;27.0;38.0;42.0;38.0;34.0;33.0;28.0;43.0;16.0;25.0;30.0;26.0;28.0;20.0;30.0;29.0;15.0;27.0;32.0;31.0;34.0;22.0;25.0;16.0;30.0;24.0;36.0;46.0
WDR1;WD repeat-containing protein 1;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;2.0;0.0;6.0;1.0;6.0;18.0;31.0;15.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;3.0;5.0;0.0;0.0;5.0;0.0;2.0;8.0;3.0;14.0;6.0;25.0;0.0;4.0;6.0;13.0;4.0;2.0;1.0;0.0;0.0;2.0;2.0;3.0;5.0;0.0;4.0;1.0;5.0;6.0;8.0;2.0
TALDO1;Transaldolase;9.0;27.0;5.0;9.0;16.0;24.0;16.0;10.0;26.0;19.0;18.0;16.0;15.0;15.0;41.0;13.0;37.0;21.0;37.0;10.0;8.0;19.0;16.0;25.0;29.0;18.0;21.0;22.0;30.0;33.0;14.0;3.0;28.0;26.0;32.0;27.0;20.0;56.0;58.0;45.0;27.0;19.0;25.0;23.0;26.0;12.0;29.0;22.0;24.0;23.0;28.0;32.0;37.0;28.0;13.0;16.0;30.0;14.0;30.0;10.0
H2BC8;Histone H2B type 1-C/E/F/G/I;19.325117;24.132086;11.096698;8.545412;33.41188;31.18165;27.590574;11.909706;31.398739;21.275394;28.252563;19.035473;18.462387;15.485216;31.577435;23.421568;22.825651;27.004347;16.17224;9.37631;15.911806;28.65295;28.937475;35.1916;71.74459;30.943787;27.1916;32.619106;29.452034;28.03084;11.591858;11.278217;25.297579;24.657682;23.231754;18.236486;31.77356;35.217274;30.675467;19.39725;29.426075;20.39725;31.26058;25.29758;14.898988;32.974247;43.375908;43.49096;20.050007;16.464808;31.78968;40.587124;15.873735;19.663912;26.257408;8.919395;13.088402;13.113655;40.74989;42.52935
YWHAB;14-3-3 protein beta/alpha;12.437421;19.643354;8.249013;6.3022985;12.772699;13.5513115;25.28027;15.883165;26.85263;31.910528;32.757565;21.719414;18.14244;28.211845;48.28488;22.787838;41.77685;30.81448;38.698303;23.755102;27.427713;5.27858;11.147282;6.81005;18.07093;12.398319;5.2590294;7.02569;36.053234;36.998287;24.464964;22.551157;30.055084;45.6532;55.866985;42.512054;34.04538;42.068188;40.353214;52.152523;21.8074;14.511919;23.811903;25.98394;29.265133;22.97434;39.937172;18.646378;28.413483;46.2431;25.905916;33.047375;26.634872;36.131916;40.131916;21.291775;53.517776;27.52467;28.799343;22.337448
HBA2;Hemoglobin subunit alpha;59.0;14.0;48.0;38.0;56.0;14.0;12.0;8.0;82.0;66.0;12.0;26.0;47.0;13.0;23.0;32.0;48.0;46.0;53.0;62.0;11.0;45.0;77.0;30.0;10.0;34.0;36.0;25.0;25.0;8.0;68.0;27.0;36.0;68.0;18.0;31.0;42.0;16.0;13.0;24.0;148.0;108.0;28.0;39.0;20.0;44.0;34.0;62.0;34.0;43.0;45.0;29.0;43.0;34.0;34.0;20.0;55.0;73.0;21.0;25.0
MYL6;Myosin light polypeptide 6;30.0;17.0;31.0;16.0;22.0;20.0;26.0;25.0;31.0;30.0;26.0;27.0;12.0;25.0;49.0;33.0;36.0;58.0;51.0;45.0;46.0;32.0;27.0;26.0;38.0;30.0;24.0;29.0;33.0;16.0;26.0;27.0;18.0;32.0;42.0;42.0;42.0;50.0;51.0;41.0;28.0;9.0;15.0;55.0;22.0;21.0;35.0;39.0;9.0;37.0;11.0;12.0;7.0;17.0;31.0;37.0;32.0;35.0;46.0;24.0
ACTR3;Actin-related protein 3;9.994012;23.998503;2.0;7.0;15.0;9.0;17.0;2.0;14.0;27.0;18.0;6.0;16.0;11.0;24.0;11.0;24.0;21.0;43.98802;24.995508;0.0;14.0;18.0;3.0;48.0;13.0;2.0;16.0;16.0;24.995508;11.997005;4.0;18.997005;19.99401;30.992516;25.99401;15.992515;30.988024;29.989521;38.982037;9.997005;17.99401;14.998503;16.998503;20.0;16.0;22.0;14.0;26.0;15.0;24.0;26.0;22.0;16.0;18.0;1.0;22.0;19.0;29.0;20.0
TUBA1A;Tubulin alpha-1A chain;10.235925;10.6479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.82395;0.0;11.411975;10.82395;17.6479;25.235924;9.411975;12.6479;10.0;18.883823;12.6479;5.411975;1.0;11.411975;15.82395;20.355677;23.531723;14.707774;26.531725;18.943699;24.179625;3.411975;8.411975;16.059875;10.6479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HNRNPA3;Heterogeneous nuclear ribonucleoprotein A3;0.0;7.0;0.0;2.0;13.0;0.0;1.0;0.0;5.0;12.0;5.0;0.0;5.0;5.0;10.0;4.0;2.0;17.468037;6.0;10.0;13.0;0.0;7.0;2.0;11.0;6.0;0.0;0.0;12.0;9.0;27.462883;10.0;6.0;21.0;15.0;6.0;10.0;12.0;9.0;12.0;0.0;7.0;10.0;9.0;7.0;3.0;18.0;7.0;4.0;0.0;9.0;10.0;5.0;4.0;8.0;12.0;8.0;9.0;5.0;16.40411
XRCC5;X-ray repair cross-complementing protein 5;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;2.0;2.0;15.0;15.0;5.0;0.0;0.0;2.0;0.0;4.0;4.0;3.0;0.0;0.0;2.0;7.0;1.0;0.0;2.0;0.0;11.0;6.0;2.0;17.0;21.0;19.0;4.0;2.0;9.0;12.0;15.0;0.0;11.0;7.0;3.0;0.0;13.0;13.0;1.0;0.0;0.0;0.0;2.0;0.0;15.0;0.0
PDIA3;Protein disulfide-isomerase A3;0.0;15.0;0.0;1.0;4.0;13.0;9.0;2.0;5.0;5.0;9.0;1.0;6.0;10.0;16.0;11.0;8.0;23.0;12.0;7.0;1.0;7.0;1.0;7.0;25.0;2.0;7.0;16.0;7.0;17.0;13.0;4.0;13.0;11.0;14.0;11.0;20.0;12.0;20.0;15.0;0.0;11.0;23.0;2.0;11.0;6.0;16.0;9.0;7.0;11.0;8.0;14.0;7.0;2.0;8.0;0.0;10.0;0.0;6.0;12.0
YWHAQ;14-3-3 protein theta;1.1380216;3.3131018;0.6714832;0.6714832;13.141521;4.342966;4.0072246;6.158007;5.1415215;10.4772625;3.4101148;1.1415215;2.671483;4.2758183;2.3429663;1.8729281;21.71168;13.872928;13.750802;12.313102;4.6632624;3.0504816;5.488182;4.7508025;25.36358;4.013423;1.4881821;10.4006405;5.925883;12.488182;8.663262;4.8754015;11.050482;11.400641;14.925882;8.750803;5.575722;19.842045;17.663263;24.929585;1.7828776;10.138021;11.8754015;8.308118;8.275818;3.8729281;7.477263;5.074373;3.0072248;11.61156;2.1415215;9.940077;6.80578;6.2758183;4.275818;4.275818;11.410114;8.342966;3.1415215;3.023711
YWHAE;14-3-3 protein epsilon;2.6690984;14.925882;1.1814704;2.1814706;12.0085;6.362941;6.7722054;4.6540585;6.0084996;12.599236;6.481088;11.008499;1.1814704;14.244793;24.362942;14.535912;20.244793;16.535912;23.567844;14.925883;15.439452;4.540706;8.182667;6.5678434;20.466589;15.95302;10.182667;16.054276;9.824628;8.182667;12.439451;4.2839217;11.540707;11.054275;22.824627;28.567842;21.311058;14.439451;15.439451;13.567843;15.182667;5.6690984;8.283922;16.95302;14.244794;7.5359116;11.599235;11.890352;4.772206;10.835529;5.0084996;11.654058;10.417765;9.244793;17.244793;14.244793;15.481088;16.36294;14.008499;6.417764
ANXA5;Annexin A5;11.0;23.0;0.0;9.0;10.0;12.0;10.0;8.0;7.0;18.0;6.0;12.0;15.0;13.0;23.0;16.0;33.0;47.0;35.0;31.0;21.0;14.0;22.0;7.0;39.0;13.0;2.0;12.0;4.0;11.0;25.0;2.0;28.0;15.0;54.0;46.0;31.0;20.0;23.0;43.0;11.0;15.0;24.0;39.0;23.0;9.0;25.0;10.0;14.0;13.0;33.0;17.0;4.0;9.0;33.0;17.0;34.0;34.0;34.0;16.0
CLTC;Clathrin heavy chain 1;2.0;16.0;0.0;1.0;2.0;5.0;9.0;1.0;0.0;0.0;0.0;4.0;2.0;0.0;25.0;2.0;12.0;9.0;8.0;3.0;0.0;7.0;17.0;3.0;14.0;3.0;0.0;7.0;3.0;10.0;0.0;0.0;17.0;11.0;22.0;19.0;14.0;21.0;12.0;15.0;2.0;5.0;16.0;2.0;4.0;0.0;17.0;8.0;6.0;6.0;9.0;5.0;10.0;5.0;19.0;0.0;22.0;10.0;3.0;0.0
ACTBL2;Beta-actin-like protein 2;2.5306604;2.0433178;3.5502865;1.1959354;2.170401;3.904638;3.258989;1.2402292;5.5247526;4.0375195;6.3918705;3.5247524;3.4361646;7.6133404;7.9676914;4.5247526;4.3475766;6.258989;5.365566;10.504717;9.180032;4.0872645;4.1800313;2.855346;6.5251575;2.6234276;5.9017296;2.5974844;6.0613217;6.43239;5.272799;4.4378934;3.5047169;5.5511007;6.9685535;7.5511007;4.6438684;10.875786;5.597484;7.9221697;6.2264156;1.4378932;3.5306606;5.504717;6.100573;6.0119853;4.2589893;3.746222;5.347577;8.056279;7.8791037;7.790516;4.5690465;6.8791037;6.3918705;3.9046378;7.569046;3.4361646;8.144867;2.284523
