Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
LDHB	na	32.0	33.0	26.0	32.0	26.0	25.0	24.0	30.0	25.0	26.0	30.0	31.0	30.0	31.0	31.0	30.0	34.0	29.0	20.0	28.0	28.0	25.0	29.0	29.0	21.0	28.0	25.0	30.0	29.0	34.0	33.0	32.0	30.0	29.0	29.0	30.0	31.0	28.0	31.0	30.0	32.0	30.0	29.0	32.0	27.0	33.0	26.0	27.0	26.0	27.0	28.0	29.0	30.0	30.0	29.0	32.0	32.0
RIPOR2	na	29.0	31.0	28.0	31.0	25.0	27.0	21.0	13.0	20.0	24.0	28.0	27.0	23.0	24.0	27.0	32.0	24.0	27.0	13.0	26.0	29.0	28.0	27.0	29.0	18.0	26.0	22.0	29.0	25.0	30.0	30.0	30.0	30.0	32.0	27.0	27.0	28.0	30.0	31.0	30.0	30.0	31.0	20.0	26.0	30.0	24.0	20.0	22.0	26.0	27.0	28.0	29.0	28.0	28.0	32.0	30.0	33.0
ARGLU1	na	4.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
PDS5B	na	46.0	47.0	41.0	43.0	40.0	40.0	40.0	17.0	34.0	36.0	38.0	33.0	46.0	44.0	39.0	43.0	38.0	35.0	23.0	41.0	40.0	40.0	41.0	44.0	18.0	34.0	30.0	42.0	40.0	41.0	46.0	48.0	43.0	43.0	41.0	41.0	43.0	43.0	44.0	43.0	43.0	40.0	36.0	38.0	42.0	35.0	32.0	32.0	40.0	43.0	42.0	40.0	42.0	44.0	43.0	43.0	45.0
HPRT1	na	11.0	11.0	10.0	13.0	12.0	11.0	13.0	11.0	11.0	10.0	13.0	12.0	11.0	12.0	10.0	11.0	11.0	12.0	4.0	12.0	10.0	8.0	12.0	11.0	14.0	11.0	10.0	11.0	10.0	12.0	11.0	13.0	12.0	11.0	10.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	12.0	12.0	10.0	10.0	9.0	10.0	10.0	11.0	11.0	10.0	12.0	11.0	10.0	11.0
THEM6	na	4.0	5.0	4.0	4.0	4.0	3.0	4.0	1.0	4.0	3.0	4.0	3.0	5.0	4.0	5.0	6.0	3.0	4.0	3.0	5.0	6.0	3.0	5.0	4.0	1.0	3.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0	7.0	5.0	6.0	5.0	4.0	3.0	3.0	5.0	4.0	6.0	5.0	6.0	6.0	7.0	5.0	5.0
SMAD4	na	7.0	6.0	5.0	5.0	4.0	5.0	4.0	1.0	3.0	2.0	5.0	5.0	4.0	4.0	3.0	6.0	4.0	5.0	0.0	7.0	6.0	4.0	7.0	6.0	1.0	3.0	3.0	7.0	4.0	3.0	5.0	5.0	6.0	5.0	5.0	6.0	6.0	7.0	6.0	6.0	4.0	6.0	3.0	5.0	5.0	5.0	4.0	1.0	5.0	6.0	6.0	6.0	5.0	7.0	6.0	7.0	6.0
RPS7	na	15.0	14.0	10.0	17.0	11.0	9.0	10.0	10.0	8.0	9.0	14.0	15.0	11.0	16.0	12.0	12.0	9.0	14.0	9.0	11.0	10.0	10.0	12.0	11.0	11.0	10.0	9.0	12.0	11.0	14.0	13.0	16.0	14.0	15.0	14.0	11.0	11.0	12.0	12.0	12.0	11.0	12.0	11.0	13.0	11.0	11.0	9.0	12.0	6.0	12.0	11.0	10.0	12.0	8.0	12.0	15.0	15.0
USP13	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
RAB7A	na	16.0	14.0	14.0	15.0	15.0	15.0	15.0	14.0	14.0	15.0	16.0	16.0	15.0	14.0	15.0	17.0	15.0	16.0	10.0	15.0	17.0	13.0	16.0	16.0	14.0	15.0	14.0	15.0	16.0	16.0	16.0	15.0	17.0	15.0	14.0	17.0	17.0	18.0	17.0	17.0	18.0	17.0	15.0	15.0	17.0	14.0	15.0	13.0	14.0	17.0	18.0	17.0	17.0	17.0	18.0	17.0	16.0
HEL-S-74	na	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0	0.0	2.0	0.0
GLRX3	na	14.0	14.0	13.0	16.0	13.0	15.0	13.0	8.0	14.0	12.0	13.0	14.0	15.0	14.0	12.0	16.0	13.0	14.0	2.0	14.0	15.0	12.0	16.0	15.0	12.0	14.0	12.0	14.0	14.0	13.0	14.0	12.0	15.0	13.0	14.0	14.0	11.0	14.0	14.0	17.0	16.0	15.0	13.0	14.0	13.0	13.0	13.0	11.0	13.0	16.0	14.0	14.0	15.0	12.0	13.0	15.0	14.0
SAMM50	na	14.0	14.0	11.0	15.0	14.0	13.0	12.0	6.0	11.0	10.0	13.0	12.0	12.0	10.0	12.0	14.0	12.0	12.0	5.0	13.0	15.0	12.0	14.0	15.0	3.0	13.0	10.0	14.0	13.0	14.0	16.0	15.0	15.0	15.0	13.0	15.0	14.0	14.0	14.0	13.0	15.0	14.0	11.0	13.0	12.0	12.0	8.0	9.0	11.0	12.0	13.0	14.0	11.0	15.0	13.0	13.0	15.0
POLR2A	na	49.0	54.0	46.0	52.0	48.0	45.0	41.0	29.0	39.0	42.0	46.0	46.0	48.0	43.0	49.0	54.0	39.0	45.0	18.0	49.0	49.0	42.0	48.0	49.0	14.0	43.0	37.0	53.0	49.0	47.0	51.0	55.0	53.0	49.0	46.0	44.0	49.0	54.0	54.0	53.0	51.0	52.0	35.0	48.0	44.0	41.0	21.0	29.0	37.0	47.0	46.0	41.0	42.0	49.0	50.0	54.0	54.0
NELFA	na	9.0	12.0	9.0	11.0	8.0	9.0	7.0	7.0	6.0	7.0	10.0	11.0	10.0	12.0	12.0	9.0	6.0	11.0	7.0	10.0	10.0	8.0	10.0	11.0	5.0	9.0	7.0	11.0	9.0	9.0	9.0	11.0	10.0	10.0	8.0	10.0	8.0	11.0	11.0	8.0	10.0	12.0	5.0	8.0	8.0	7.0	6.0	7.0	7.0	10.0	10.0	9.0	11.0	10.0	9.0	11.0	11.0
CDC42SE2	na	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0
SULT1B1	na	9.0	9.0	7.0	6.0	5.0	8.0	7.0	1.0	5.0	7.0	5.0	3.0	7.0	6.0	5.0	11.0	7.0	3.0	0.0	12.0	11.0	6.0	10.0	11.0	3.0	7.0	5.0	9.0	6.0	4.0	10.0	6.0	10.0	12.0	7.0	13.0	10.0	12.0	11.0	11.0	12.0	10.0	7.0	5.0	8.0	4.0	5.0	5.0	8.0	9.0	8.0	9.0	8.0	9.0	10.0	10.0	12.0
PRKRIP1	na	3.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	3.0	3.0	1.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	1.0
STK39	na	4.0	5.0	6.0	6.0	7.0	7.0	4.0	1.0	2.0	2.0	5.0	3.0	5.0	3.0	4.0	5.0	4.0	7.0	1.0	5.0	8.0	4.0	5.0	5.0	2.0	6.0	2.0	6.0	6.0	3.0	4.0	6.0	7.0	5.0	7.0	5.0	4.0	7.0	6.0	7.0	6.0	6.0	5.0	6.0	6.0	4.0	3.0	2.0	6.0	5.0	5.0	5.0	5.0	6.0	10.0	4.0	6.0
SRM	na	8.0	8.0	8.0	9.0	10.0	10.0	9.0	9.0	8.0	8.0	9.0	10.0	10.0	8.0	8.0	10.0	7.0	9.0	5.0	8.0	9.0	9.0	10.0	9.0	7.0	9.0	9.0	9.0	9.0	9.0	8.0	10.0	9.0	9.0	8.0	10.0	10.0	11.0	9.0	11.0	11.0	11.0	10.0	10.0	10.0	10.0	8.0	7.0	9.0	9.0	10.0	10.0	9.0	10.0	11.0	9.0	9.0
AAAS	na	5.0	5.0	5.0	5.0	4.0	6.0	5.0	2.0	4.0	4.0	1.0	1.0	4.0	3.0	3.0	5.0	4.0	1.0	2.0	4.0	4.0	4.0	3.0	4.0	1.0	2.0	3.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	2.0	5.0	6.0	5.0	5.0	6.0	3.0	2.0	3.0	3.0	4.0	2.0	0.0	5.0	3.0	5.0	6.0	2.0	6.0	6.0	5.0	6.0
AP1M1	na	16.0	14.0	15.0	15.0	14.0	16.0	16.0	12.0	11.0	13.0	15.0	15.0	14.0	15.0	14.0	16.0	13.0	15.0	5.0	16.0	14.0	11.0	14.0	16.0	11.0	14.0	12.0	15.0	13.0	16.0	12.0	17.0	15.0	14.0	14.0	16.0	18.0	17.0	15.0	15.0	16.0	17.0	15.0	15.0	16.0	14.0	15.0	11.0	15.0	14.0	14.0	15.0	13.0	14.0	16.0	17.0	15.0
SPTAN1	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NUDCD2	na	5.0	6.0	5.0	7.0	5.0	5.0	4.0	6.0	5.0	5.0	6.0	7.0	6.0	7.0	6.0	6.0	5.0	6.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	6.0	7.0	7.0	6.0	5.0	5.0	5.0	6.0	6.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	6.0	5.0	5.0
VASP	na	21.0	22.0	21.0	22.0	20.0	20.0	23.0	19.0	21.0	18.0	19.0	19.0	20.0	22.0	19.0	20.0	19.0	21.0	14.0	22.0	17.0	16.0	18.0	21.0	12.0	19.0	18.0	20.0	17.0	20.0	21.0	21.0	20.0	21.0	20.0	18.0	20.0	20.0	19.0	20.0	18.0	21.0	19.0	21.0	19.0	18.0	18.0	18.0	19.0	18.0	20.0	20.0	19.0	20.0	21.0	19.0	21.0
CTCF	na	18.0	15.0	11.0	12.0	13.0	10.0	6.0	5.0	14.0	16.0	13.0	10.0	15.0	16.0	17.0	17.0	9.0	9.0	7.0	16.0	13.0	10.0	15.0	15.0	5.0	12.0	10.0	17.0	14.0	12.0	19.0	18.0	15.0	12.0	12.0	11.0	14.0	17.0	15.0	12.0	14.0	12.0	4.0	12.0	11.0	11.0	12.0	10.0	8.0	15.0	14.0	12.0	14.0	15.0	14.0	17.0	18.0
DUT	na	12.0	12.0	11.0	13.0	9.0	11.0	9.0	11.0	11.0	11.0	12.0	12.0	13.0	13.0	13.0	12.0	8.0	12.0	7.0	13.0	11.0	9.0	13.0	13.0	13.0	10.0	11.0	12.0	12.0	11.0	13.0	13.0	13.0	12.0	9.0	12.0	12.0	11.0	12.0	12.0	12.0	12.0	9.0	12.0	11.0	10.0	11.0	10.0	8.0	11.0	12.0	11.0	11.0	12.0	11.0	12.0	12.0
IGL@	na	2.0	0.0	3.0	0.0	0.0	2.0	3.0	3.0	1.0	1.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	1.0	1.0	3.0	0.0	3.0	0.0	3.0	3.0	0.0	1.0	0.0	1.0	3.0	1.0	2.0	3.0	2.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	3.0	3.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0
CREBBP	na	6.0	6.0	10.0	6.0	7.0	9.0	8.0	1.0	2.0	3.0	6.0	6.0	9.0	7.0	5.0	10.0	6.0	6.0	4.0	6.0	8.0	5.0	7.0	8.0	3.0	7.0	5.0	8.0	6.0	6.0	9.0	5.0	5.0	4.0	6.0	4.0	8.0	8.0	6.0	6.0	5.0	7.0	4.0	7.0	6.0	6.0	3.0	5.0	5.0	4.0	5.0	8.0	5.0	5.0	6.0	8.0	10.0
HLA-DRB1	na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RETN	na	1.0	2.0	2.0	3.0	1.0	2.0	5.0	2.0	2.0	0.0	3.0	2.0	2.0	2.0	0.0	2.0	5.0	4.0	2.0	0.0	0.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	5.0	3.0	3.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	4.0	3.0	0.0	5.0	3.0	2.0	1.0	0.0	0.0	2.0	1.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0
LCP2	na	22.0	20.0	20.0	24.0	21.0	21.0	20.0	20.0	18.0	18.0	23.0	24.0	18.0	22.0	21.0	22.0	19.0	24.0	16.0	19.0	19.0	17.0	21.0	19.0	24.0	20.0	15.0	21.0	19.0	18.0	22.0	19.0	22.0	23.0	22.0	20.0	22.0	24.0	21.0	21.0	24.0	21.0	20.0	22.0	22.0	18.0	21.0	19.0	15.0	21.0	22.0	19.0	22.0	20.0	22.0	23.0	20.0
LOC401308	na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB4B	na	9.0	9.0	8.0	7.0	7.0	7.0	8.0	3.0	6.0	5.0	7.0	7.0	7.0	6.0	7.0	8.0	5.0	9.0	2.0	8.0	9.0	6.0	9.0	6.0	3.0	8.0	6.0	8.0	7.0	8.0	8.0	8.0	10.0	10.0	8.0	9.0	9.0	8.0	9.0	9.0	8.0	11.0	9.0	11.0	9.0	8.0	6.0	5.0	7.0	9.0	9.0	8.0	7.0	7.0	9.0	8.0	8.0
HMBS	na	4.0	3.0	3.0	4.0	2.0	3.0	3.0	1.0	3.0	2.0	1.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	0.0	4.0	4.0	2.0	3.0	3.0	0.0	2.0	2.0	4.0	1.0	2.0	3.0	4.0	3.0	3.0	3.0	1.0	2.0	3.0	2.0	4.0	4.0	3.0	3.0	4.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	3.0	3.0	2.0	4.0	3.0	4.0
HLA-A	na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
GGA1	na	5.0	6.0	5.0	7.0	5.0	4.0	4.0	3.0	3.0	4.0	2.0	2.0	6.0	6.0	6.0	6.0	3.0	7.0	3.0	5.0	5.0	4.0	4.0	4.0	2.0	4.0	5.0	4.0	3.0	2.0	4.0	5.0	3.0	5.0	3.0	5.0	6.0	6.0	6.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	3.0	3.0	3.0	7.0	6.0	5.0	5.0	6.0	5.0	4.0
GLOD4	na	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP3K5	na	4.0	3.0	4.0	3.0	4.0	3.0	4.0	1.0	1.0	2.0	3.0	2.0	4.0	4.0	3.0	4.0	1.0	3.0	3.0	1.0	3.0	2.0	2.0	5.0	2.0	5.0	1.0	3.0	2.0	1.0	2.0	4.0	3.0	1.0	3.0	2.0	2.0	2.0	4.0	3.0	4.0	4.0	1.0	3.0	1.0	2.0	0.0	0.0	3.0	1.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0
CD28	na	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
PMPCA	na	10.0	12.0	10.0	14.0	10.0	10.0	8.0	4.0	6.0	7.0	12.0	13.0	7.0	9.0	9.0	10.0	7.0	6.0	2.0	10.0	9.0	5.0	10.0	11.0	4.0	9.0	4.0	13.0	9.0	10.0	12.0	12.0	11.0	11.0	12.0	11.0	12.0	12.0	13.0	14.0	12.0	14.0	9.0	12.0	10.0	9.0	6.0	5.0	8.0	9.0	10.0	11.0	10.0	11.0	13.0	13.0	13.0
LARP1	na	21.0	19.0	22.0	24.0	19.0	20.0	15.0	17.0	21.0	20.0	23.0	22.0	20.0	22.0	23.0	22.0	16.0	23.0	16.0	21.0	22.0	18.0	19.0	24.0	26.0	23.0	16.0	25.0	24.0	22.0	25.0	26.0	23.0	22.0	24.0	23.0	21.0	23.0	24.0	21.0	24.0	25.0	20.0	19.0	21.0	20.0	24.0	22.0	18.0	21.0	23.0	24.0	21.0	24.0	23.0	21.0	23.0
RMDN1	na	8.0	8.0	7.0	7.0	7.0	7.0	5.0	6.0	7.0	6.0	8.0	8.0	8.0	4.0	8.0	9.0	6.0	8.0	2.0	8.0	9.0	7.0	8.0	7.0	6.0	7.0	5.0	9.0	8.0	8.0	9.0	7.0	7.0	5.0	6.0	5.0	7.0	8.0	7.0	7.0	9.0	7.0	5.0	9.0	8.0	8.0	6.0	3.0	7.0	8.0	8.0	8.0	7.0	8.0	7.0	7.0	9.0
MRPS7	na	4.0	5.0	4.0	5.0	4.0	4.0	5.0	1.0	2.0	4.0	5.0	5.0	6.0	6.0	2.0	6.0	2.0	3.0	0.0	5.0	4.0	4.0	4.0	4.0	0.0	6.0	2.0	5.0	4.0	3.0	5.0	6.0	4.0	3.0	3.0	4.0	4.0	5.0	3.0	5.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	6.0
HLA-DRB1	na	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PCBP1	na	22.0	22.0	21.0	21.0	18.0	21.0	18.0	16.0	17.0	18.0	20.0	21.0	22.0	22.0	20.0	22.0	19.0	21.0	19.0	21.0	20.0	18.0	21.0	22.0	17.0	18.0	17.0	22.0	19.0	21.0	23.0	20.0	22.0	23.0	20.0	21.0	23.0	23.0	21.0	22.0	23.0	21.0	21.0	24.0	19.0	21.0	17.0	19.0	18.0	22.0	21.0	23.0	21.0	21.0	24.0	20.0	22.0
CBX1	na	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
CWC15	na	6.0	6.0	7.0	6.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	7.0	7.0	6.0	5.0	7.0	6.0	5.0	5.0	5.0	6.0	5.0	5.0	5.0	5.0	6.0	5.0	6.0	5.0	6.0	6.0	5.0	5.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	5.0	6.0	5.0	5.0	6.0	6.0	5.0	5.0	7.0	6.0	5.0	5.0	5.0	5.0	6.0
RWDD4	na	2.0	2.0	3.0	2.0	3.0	2.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	3.0	1.0	1.0
TXNIP	na	13.0	12.0	9.0	13.0	10.0	10.0	11.0	6.0	9.0	5.0	11.0	9.0	11.0	11.0	7.0	9.0	8.0	12.0	1.0	12.0	11.0	7.0	11.0	12.0	6.0	8.0	5.0	10.0	11.0	7.0	8.0	7.0	11.0	12.0	11.0	10.0	12.0	13.0	12.0	11.0	14.0	11.0	8.0	9.0	9.0	7.0	5.0	4.0	7.0	12.0	9.0	12.0	8.0	12.0	12.0	9.0	10.0
HEL-9	na	4.0	4.0	4.0	7.0	1.0	1.0	9.0	4.0	2.0	7.0	6.0	4.0	4.0	3.0	1.0	2.0	2.0	5.0	0.0	8.0	5.0	0.0	3.0	4.0	5.0	2.0	0.0	2.0	1.0	4.0	1.0	5.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	2.0	3.0	2.0	9.0	6.0	6.0	1.0	4.0	3.0	2.0	1.0	2.0	2.0	9.0	9.0	3.0	2.0	3.0
KHSRP	na	41.0	40.0	38.0	43.0	35.0	35.0	31.0	40.0	40.0	41.0	43.0	44.0	36.0	49.0	48.0	40.0	34.0	41.0	41.0	38.0	38.0	34.0	37.0	38.0	39.0	38.0	28.0	39.0	35.0	37.0	42.0	43.0	41.0	39.0	33.0	37.0	35.0	33.0	39.0	36.0	37.0	40.0	35.0	39.0	38.0	35.0	37.0	40.0	30.0	38.0	39.0	37.0	37.0	31.0	33.0	40.0	35.0
IGF2R	na	20.0	24.0	23.0	23.0	22.0	25.0	26.0	15.0	16.0	15.0	23.0	20.0	24.0	16.0	19.0	26.0	18.0	17.0	7.0	21.0	23.0	19.0	22.0	26.0	14.0	18.0	13.0	26.0	22.0	21.0	22.0	25.0	21.0	19.0	17.0	13.0	26.0	27.0	20.0	25.0	24.0	22.0	13.0	20.0	18.0	15.0	10.0	9.0	22.0	15.0	25.0	23.0	19.0	22.0	27.0	20.0	22.0
ATXN10	na	11.0	12.0	12.0	14.0	12.0	13.0	10.0	3.0	5.0	7.0	10.0	10.0	10.0	7.0	11.0	12.0	9.0	12.0	2.0	12.0	14.0	11.0	13.0	13.0	4.0	11.0	7.0	11.0	9.0	11.0	13.0	10.0	11.0	12.0	12.0	9.0	11.0	12.0	11.0	11.0	12.0	11.0	7.0	9.0	10.0	7.0	4.0	6.0	8.0	10.0	12.0	13.0	10.0	13.0	12.0	13.0	12.0
SMAP	na	5.0	5.0	6.0	7.0	6.0	6.0	7.0	6.0	6.0	6.0	7.0	6.0	6.0	8.0	6.0	6.0	6.0	7.0	7.0	4.0	6.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	7.0	5.0	5.0	5.0	4.0	5.0	7.0	4.0	5.0	5.0	6.0	6.0	6.0	6.0	5.0	5.0
RUNX1	na	2.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0
MRPS23	na	3.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	1.0	4.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0
YBX1	na	19.0	14.0	17.0	16.0	18.0	15.0	10.0	19.0	17.0	16.0	20.0	20.0	16.0	19.0	18.0	18.0	14.0	19.0	17.0	14.0	15.0	16.0	16.0	17.0	19.0	17.0	17.0	18.0	17.0	18.0	18.0	20.0	17.0	18.0	15.0	13.0	14.0	14.0	16.0	16.0	14.0	16.0	11.0	17.0	16.0	12.0	16.0	19.0	13.0	14.0	13.0	13.0	13.0	13.0	13.0	16.0	18.0
